series_id,key_id,time_s,ic_a_um,tmax_k,delta_t_k,power_w_um,cumulative_electrical_energy_j_um,source_path,source_row
thermal_steady,pulse_local_max,9.68746337891e-11,6.66764339138e-05,324.633215859,1.7000002117129043e-07,0.1666910847845,6.102521955968328e-13,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,21
thermal_steady,post_pulse_sample_min,2.53956733647e-10,1.06864391152e-06,324.633219535,3.846000026896945e-06,0.0026716097788000003,1.187693632454323e-12,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,59
thermal_steady,time_10ns,1e-08,7.78879627141e-06,324.66958561,0.03636992100001635,0.019471990678524998,8.952004944996068e-11,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,75
thermal_steady,time_40ns,4.0275841056e-08,0.000153635272119,326.319441582,1.686225893000028,0.38408818029749997,4.338497694431961e-09,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,90
thermal_steady,time_50ns,5e-08,0.000329382986819,328.185795447,3.552579757999979,0.8234574670475,9.963441764077233e-09,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,100
thermal_steady,time_60ns,5.99869794307e-08,0.000692011683581,339.603414586,14.970198896999989,1.7300292089525,2.222133656512656e-08,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,115
thermal_steady,available_window_end,8.19333762393e-08,0.00317242536956,395.229382452,70.59616676299999,7.9310634239,1.1496703244408271e-07,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt04/transient.csv,1858
cold300_nonsteady,pulse_local_max,9.68746337891e-11,6.5292625396e-05,300.022943161,0.02272218000001658,0.16323156349,6.116945102602907e-13,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,21
cold300_nonsteady,post_pulse_sample_min,2.22393191646e-10,1.09841471188e-06,300.073511733,0.07329075199999124,0.0027460367796999998,1.1065971162585285e-12,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,60
cold300_nonsteady,time_10ns,1e-08,8.70990284628e-06,300.065752038,0.0655310570000438,0.021774757115699997,9.792323255468793e-11,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,81
cold300_nonsteady,time_40ns,4e-08,0.000165058154231,306.303559284,6.303338303000032,0.4126453855775,4.515999981638161e-09,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,114
cold300_nonsteady,time_50ns,5e-08,0.000373647372504,321.425978864,21.425757883000017,0.9341184312599999,1.0899135591901992e-08,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,137
cold300_nonsteady,time_60ns,6e-08,0.000812775499366,339.677254315,39.67703333400004,2.031938748415,2.5090378625717e-08,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,166
cold300_nonsteady,available_window_end,6e-08,0.000812775499366,339.677254315,39.67703333400004,2.031938748415,2.5090378625717e-08,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/transient.csv,166
