variant_axis,variant_value,folder_id,target_time_ns,sample_time_ns,left_sample_time_ns,right_sample_time_ns,sampling_method,vce_v,ic_a_um,tmax_k,power_w_um,trend,eligibility,source_path
baseline,Wt0.1_Y3.5_thermal_steady_baseline_mesh,A01_v2500_let15_y3p5__attempt07_A40_60,10,10,NA,NA,published_target_value,2500.0,7.85368722348e-06,324.670146728,0.0196342180587,GROWING,diagnostic_only,docs/changes/2026-07-11-igbt-seb-paper-reproduction/data/a01_wt_hi_sensitivity.csv
baseline,Wt0.1_Y3.5_thermal_steady_baseline_mesh,A01_v2500_let15_y3p5__attempt07_A40_60,40,NA,40.0012,40.003,linear_interpolation_between_samples,2500.0,0.000142888014132,326.165669077,0.35722003532999996,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt07_A40_60/baseline_common_time_summary.csv
baseline,Wt0.1_Y3.5_thermal_steady_baseline_mesh,A01_v2500_let15_y3p5__attempt07_A40_60,50,NA,49.7811,50.4702,linear_interpolation_between_samples,2500.0,0.0003274536627458146,328.4239104051477,0.8186341568645366,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt07_A40_60/baseline_common_time_summary.csv
baseline,Wt0.1_Y3.5_thermal_steady_baseline_mesh,A01_v2500_let15_y3p5__attempt07_A40_60,60,NA,58.6616,60,linear_interpolation_between_samples,2500.0,0.000760421515043,335.777358919,1.9010537876074998,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt07_A40_60/baseline_common_time_summary.csv
mesh,track_core_half,A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,7.85752447843e-06,325.834670616,0.019643811196075,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60/common_time_summary.csv
mesh,track_core_half,A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000142804957783,327.321747427,0.3570123944575,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60/common_time_summary.csv
mesh,track_core_half,A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.000307192529674,328.974111653,0.767981324185,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60/common_time_summary.csv
mesh,track_core_half,A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000644645065445,338.174047578,1.6116126636125,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt18_meshhalf_transient_to60/common_time_summary.csv
position,Y3.4_um,A01_v2500_let15_y3p4__attempt25_position_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,7.85470925008e-06,324.670153793,0.0196367731252,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60/common_time_summary.csv
position,Y3.4_um,A01_v2500_let15_y3p4__attempt25_position_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000133959836348,326.124564885,0.33489959087000004,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60/common_time_summary.csv
position,Y3.4_um,A01_v2500_let15_y3p4__attempt25_position_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.000293419943387,327.725168655,0.7335498584675,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60/common_time_summary.csv
position,Y3.4_um,A01_v2500_let15_y3p4__attempt25_position_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000618865275295,336.925458787,1.5471631882375,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p4__attempt25_position_transient_to60/common_time_summary.csv
position,Y3.6_um,A01_v2500_let15_y3p6__attempt26_position_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,7.85439729267e-06,324.670146692,0.019635993231675,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60/common_time_summary.csv
position,Y3.6_um,A01_v2500_let15_y3p6__attempt26_position_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000134701492289,326.12815219,0.3367537307225,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60/common_time_summary.csv
position,Y3.6_um,A01_v2500_let15_y3p6__attempt26_position_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.000294329147223,327.737490916,0.7358228680575,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60/common_time_summary.csv
position,Y3.6_um,A01_v2500_let15_y3p6__attempt26_position_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000622172430949,337.002672018,1.5554310773725,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p6__attempt26_position_transient_to60/common_time_summary.csv
thermal_initial_state,cold300_nonsteady,A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,8.70990284628e-06,300.065752038,0.021774757115699997,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/common_time_summary.csv
thermal_initial_state,cold300_nonsteady,A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000165058154231,306.303559284,0.4126453855775,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/common_time_summary.csv
thermal_initial_state,cold300_nonsteady,A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.000373647372504,321.425978864,0.9341184312599999,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/common_time_summary.csv
thermal_initial_state,cold300_nonsteady,A01_v2500_let15_y3p5__attempt24_cold300_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000812775499366,339.677254315,2.031938748415,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt24_cold300_transient_to60/common_time_summary.csv
wt_hi,0.2_um,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,7.85476001632e-06,324.670152674,0.019636900040799998,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60/common_time_summary.csv
wt_hi,0.2_um,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000133996681503,326.124472312,0.3349917037575,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60/common_time_summary.csv
wt_hi,0.2_um,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.000293473167568,327.725358768,0.7336829189199999,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60/common_time_summary.csv
wt_hi,0.2_um,A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000618941860719,336.936010142,1.5473546517975,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt19_wt0p2_transient_to60/common_time_summary.csv
wt_hi,0.5_um,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,10,10,NA,NA,exact_or_preinterpolated,2500.0,7.85022044282e-06,324.670126498,0.01962555110705,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60/common_time_summary.csv
wt_hi,0.5_um,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,40,40,NA,NA,exact_or_preinterpolated,2500.0,0.000135733740649,326.129877776,0.3393343516225,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60/common_time_summary.csv
wt_hi,0.5_um,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,50,50,NA,NA,exact_or_preinterpolated,2500.0,0.00029481033814,327.743496413,0.73702584535,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60/common_time_summary.csv
wt_hi,0.5_um,A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60,60,60,NA,NA,exact_or_preinterpolated,2500.0,0.000622856459559,337.092474706,1.5571411488975,GROWING,diagnostic_only,local_runtime/igbt_seb_full_20260712_035027/cases/A01_v2500_let15_y3p5__attempt21_wt0p5_transient_to60/common_time_summary.csv
