sample_kind,thermal_variant_id,run_id,time_s,time_ns,collector_inner_voltage_v,ic_a_um,tmax_k,tpre_k,delta_t_k,power_w_um,cumulative_port_energy_j_um,phase,source_file,source_row,diagnostic_only
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,1e-13,0.0001,2500.0,1.31235387961e-07,324.633215689,324.633215689,0.0,0.00032808846990250003,0.0,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,2,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,2.5e-13,0.00025,2500.0,1.31249127504e-07,324.633215689,324.633215689,0.0,0.00032812281876000004,4.92158466496875e-17,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,3,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,4.75e-13,0.000475,2500.0,1.3124913434e-07,324.633215689,324.633215689,0.0,0.00032812283585,1.230434827933125e-16,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,4,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,8.125e-13,0.0008125000000000001,2500.0,1.3124913084e-07,324.633215689,324.633215689,0.0,0.00032812282709999995,2.33784938416125e-16,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,5,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,1.31875e-12,0.00131875,2500.0,1.31249131705e-07,324.633215689,324.633215689,0.0,0.0003281228292625,3.998971201828828e-16,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,6,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,2.078125e-12,0.002078125,2500.0,1.31249136954e-07,324.633215689,324.633215689,0.0,0.000328122842385,6.49065398636543e-16,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,7,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,3.2171875e-12,0.0032171875,2500.0,1.31249132345e-07,324.633215689,324.633215689,0.0,0.00032812283086250003,1.0228178172282833e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,8,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,4.92578125e-12,0.0049257812500000005,2500.0,1.31249133479e-07,324.633215689,324.633215689,0.0,0.0003281228336975,1.5834464376941897e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,9,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,7.488671875e-12,0.007488671875,2500.0,1.3124913413e-07,324.633215689,324.633215689,0.0,0.000328122835325,2.4243893741114985e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,10,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,1.13330078125e-11,0.0113330078125,2500.0,1.31249133418e-07,324.633215689,324.633215689,0.0,0.00032812283354500003,3.685803778444332e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,11,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,1.70995117188e-11,0.0170995117188,2500.0,1.31249132798e-07,324.633215689,324.633215689,0.0,0.000328122831995,5.5779253753587585e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,12,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,2.57492675781e-11,0.0257492675781,2500.0,1.31249132996e-07,324.633215689,324.633215689,0.0,0.00032812283249000003,8.416107766118434e-15,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,13,True
raw_transient,R1_THERMO_COUPLED_TCONT300,A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a,3.57492675781e-11,0.0357492675781,2500.0,1.31249132691e-07,324.633215689,324.633215689,0.0,0.0003281228317275,1.1697336087205935e-14,pre_strike,local_runtime/igbt_seb_thermal_runs/A01_v2500_let15_y3p5_thermal__R1_thermo_coupled_to60__20260713T064449946Z__1d9cd23a/postprocess/r1_transient_raw.csv,14,True
