time_s,collector_inner_voltage_v,collector_total_current_a_um,plt_tmax_k
1e-13,2500.0,1.31235387961e-07,324.633215689
2.5e-13,2500.0,1.31249127504e-07,324.633215689
4.75e-13,2500.0,1.3124913434e-07,324.633215689
8.125e-13,2500.0,1.3124913084e-07,324.633215689
1.31875e-12,2500.0,1.31249131705e-07,324.633215689
2.078125e-12,2500.0,1.31249136954e-07,324.633215689
3.2171875e-12,2500.0,1.31249132345e-07,324.633215689
4.92578125e-12,2500.0,1.31249133479e-07,324.633215689
7.488671875e-12,2500.0,1.3124913413e-07,324.633215689
1.13330078125e-11,2500.0,1.31249133418e-07,324.633215689
1.70995117188e-11,2500.0,1.31249132798e-07,324.633215689
2.57492675781e-11,2500.0,1.31249132996e-07,324.633215689
3.57492675781e-11,2500.0,1.31249132691e-07,324.633215689
4.57492675781e-11,2500.0,1.31249134988e-07,324.633215689
5.57492675781e-11,2500.0,1.31249133417e-07,324.633215689
6.57492675781e-11,2500.0,1.31249133153e-07,324.633215689
7.57492675781e-11,2500.0,1.31249134161e-07,324.633215689
8.57492675781e-11,2500.0,1.31249134229e-07,324.633215689
9.57492675781e-11,2500.0,3.49984953035e-05,324.633215838
9.68746337891e-11,2500.0,6.66764339138e-05,324.633215859
9.8e-11,2500.0,2.8053901033e-05,324.63321588
9.82e-11,2500.0,1.33835611591e-05,324.633215884
9.84e-11,2500.0,6.3430926002e-06,324.633215888
9.86e-11,2500.0,3.31591054374e-06,324.633215892
9.88e-11,2500.0,2.10722655957e-06,324.633215896
9.9e-11,2500.0,1.6426781462e-06,324.6332159
9.92e-11,2500.0,1.46167323108e-06,324.633215904
9.94e-11,2500.0,1.38535283225e-06,324.633215908
9.96e-11,2500.0,1.34864433742e-06,324.633215912
9.98e-11,2500.0,1.32822181597e-06,324.633215916
1e-10,2500.0,1.31521029649e-06,324.63321592
1.002e-10,2500.0,1.30571941206e-06,324.633215924
1.004e-10,2500.0,1.29772528134e-06,324.633215928
1.006e-10,2500.0,1.29009698422e-06,324.633215932
1.008e-10,2500.0,1.28233053446e-06,324.633215936
1.01e-10,2500.0,1.27441722786e-06,324.63321594
1.012e-10,2500.0,1.26663546893e-06,324.633215944
1.014e-10,2500.0,1.25930991941e-06,324.633215948
1.016e-10,2500.0,1.25265947342e-06,324.633215951
1.018e-10,2500.0,1.24676390228e-06,324.633215955
1.02e-10,2500.0,1.2415969291e-06,324.633215959
1.022e-10,2500.0,1.23706436195e-06,324.633215963
1.0248e-10,2500.0,1.23197227079e-06,324.633215969
1.02872e-10,2500.0,1.22627756146e-06,324.633215977
1.034208e-10,2500.0,1.21914259439e-06,324.633215988
1.0418912e-10,2500.0,1.20870044269e-06,324.633216003
1.05264768e-10,2500.0,1.1950893306e-06,324.633216024
1.067706752e-10,2500.0,1.18014279187e-06,324.633216055
1.0887894528e-10,2500.0,1.16207986598e-06,324.633216097
1.11830523392e-10,2500.0,1.14153942258e-06,324.633216157
1.15962732749e-10,2500.0,1.12060625327e-06,324.633216242
1.21747825848e-10,2500.0,1.10402923904e-06,324.633216361
1.29846956188e-10,2500.0,1.09569966473e-06,324.633216532
1.41185738663e-10,2500.0,1.09426113017e-06,324.633216775
1.57060034128e-10,2500.0,1.09133320306e-06,324.633217127
1.79284047779e-10,2500.0,1.08235033815e-06,324.63321764
2.1039766689e-10,2500.0,1.07260641337e-06,324.633218398
2.53956733647e-10,2500.0,1.0686439115e-06,324.633219535
3.14939427105e-10,2500.0,1.07252998995e-06,324.63322128
4e-10,2500.0,1.08430622663e-06,324.633224014
4.1e-10,2500.0,1.0851312354e-06,324.63322434
4.24e-10,2500.0,1.08674315324e-06,324.633224804
4.436e-10,2500.0,1.08946475832e-06,324.63322547
4.7104e-10,2500.0,1.09375093047e-06,324.633226434
5.09456e-10,2500.0,1.10033982236e-06,324.633227848
5.632384e-10,2500.0,1.1103961933e-06,324.633229956
6.3853376e-10,2500.0,1.12588715218e-06,324.633233208
7.43947264e-10,2500.0,1.15038804169e-06,324.633239276
8.915261696e-10,2500.0,1.18640779052e-06,324.633264069
1.09813663744e-09,2500.0,1.24506606219e-06,324.633412663
1.38739129242e-09,2500.0,1.34434609523e-06,324.633951939
1.79234780938e-09,2500.0,1.51145966186e-06,324.634954273
2.35928693314e-09,2500.0,1.78185433995e-06,324.636101833
3.15300170639e-09,2500.0,2.16801634743e-06,324.63736845
4.26420238895e-09,2500.0,2.70298321112e-06,324.639408396
5.81988334452e-09,2500.0,3.63246791755e-06,324.643878916
7.99783668233e-09,2500.0,5.53769111127e-06,324.654790701
1e-08,2500.0,7.85368722348e-06,324.670146728
1.001e-08,2500.0,7.86492505541e-06,324.670223566
1.0024e-08,2500.0,7.88085735274e-06,324.670331416
1.00436e-08,2500.0,7.90328619044e-06,324.670482948
1.007104e-08,2500.0,7.9348419908e-06,324.670696158
1.0109456e-08,2500.0,7.97927326324e-06,324.670996749
1.01632384e-08,2500.0,8.04192709878e-06,324.671421701
