time_s,top_voltage_v,top_current_a_per_um,abs_top_current_a_per_um,current_excursion_a_per_um
1e-12,-99.9999999817673,-1.82329784262896e-15,1.82329784262896e-15,0.0
2e-12,-99.9999999817673,-1.82329784223665e-15,1.82329784223665e-15,3.9230999449727182e-25
3e-12,-99.9999999817673,-1.82329784250663e-15,1.82329784250663e-15,1.2233023829443274e-25
4e-12,-99.9999999817673,-1.82329784297439e-15,1.82329784297439e-15,3.4542996305225014e-25
5e-12,-99.9999999817673,-1.82329784342687e-15,1.82329784342687e-15,7.97909928664802e-25
6e-12,-99.9999999817673,-1.8232978437893e-15,1.8232978437893e-15,1.160339844224565e-24
7e-12,-99.9999999817673,-1.82329784405222e-15,1.82329784405222e-15,1.4232600841865812e-24
8e-12,-99.9999999817673,-1.8232978442313e-15,1.8232978442313e-15,1.6023397927112557e-24
9e-12,-99.9999999817673,-1.82329784434794e-15,1.82329784434794e-15,1.7189799772963293e-24
1e-11,-99.9999999817673,-1.82329784442139e-15,1.82329784442139e-15,1.7924300273205525e-24
1.1e-11,-99.9999999817673,-1.82329784446642e-15,1.82329784446642e-15,1.8374597855123783e-24
1.2e-11,-99.9999999817673,-1.82329784449341e-15,1.82329784449341e-15,1.86444987252361e-24
1.3e-11,-99.9999999817673,-1.82329784450929e-15,1.82329784450929e-15,1.8803300369761616e-24
1.4e-11,-99.9999999817673,-1.82329784451848e-15,1.82329784451848e-15,1.8895198720915337e-24
1.5e-11,-99.9999999817673,-1.82329784452373e-15,1.82329784452373e-15,1.8947697414157796e-24
1.6e-11,-99.9999999817673,-1.82329784452669e-15,1.82329784452669e-15,1.8977299419626214e-24
1.7e-11,-99.9999999817673,-1.82329784452834e-15,1.82329784452834e-15,1.899379844545891e-24
1.8e-11,-99.9999999817673,-1.82329784452925e-15,1.82329784452925e-15,1.9002897956000636e-24
1.9e-11,-99.9999999817673,-1.82329784452975e-15,1.82329784452975e-15,1.9007899334139737e-24
2e-11,-99.9999999817673,-1.82329784453002e-15,1.82329784453002e-15,1.9010597238435593e-24
2.1e-11,-99.9999999817673,-1.82329784453018e-15,1.82329784453018e-15,1.9012198626073192e-24
2.2e-11,-99.9999999817673,-1.82329784453026e-15,1.82329784453026e-15,1.901299931989199e-24
2.3e-11,-99.9999999817673,-1.82329784453031e-15,1.82329784453031e-15,1.9013500246566807e-24
2.4e-11,-99.9999999817673,-1.82329784453034e-15,1.82329784453034e-15,1.901380001371079e-24
2.5e-11,-99.9999999817673,-1.82329784453036e-15,1.82329784453036e-15,1.9013997228937096e-24
2.6e-11,-99.9999999817673,-1.82329784453038e-15,1.82329784453038e-15,1.9014198388467927e-24
2.7e-11,-99.9999999817673,-1.82329784453039e-15,1.82329784453039e-15,1.9014300940385606e-24
2.8e-11,-99.9999999817673,-1.8232978445304e-15,1.8232978445304e-15,1.901439954799876e-24
2.9e-11,-99.9999999817673,-1.8232978445304e-15,1.8232978445304e-15,1.901439954799876e-24
3e-11,-99.9999999817673,-1.82329784453041e-15,1.82329784453041e-15,1.901449815561191e-24
3.1e-11,-99.9999999817673,-1.82329784453041e-15,1.82329784453041e-15,1.901449815561191e-24
3.2e-11,-99.9999999817673,-1.82329784453042e-15,1.82329784453042e-15,1.901460070752959e-24
3.3e-11,-99.9999999817673,-1.82329784453042e-15,1.82329784453042e-15,1.901460070752959e-24
3.4e-11,-99.9999999817673,-1.82329784453042e-15,1.82329784453042e-15,1.901460070752959e-24
3.5e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
3.6e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
3.7e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
3.8e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
3.9e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
4e-11,-99.9999999817673,-1.82329784453043e-15,1.82329784453043e-15,1.9014699315142742e-24
