wt_um,time_ns,vce_v,ic_a_um,ic_difference_vs_wt0p1_pct,tmax_k,tmax_difference_vs_wt0p1_k,charge_pc,charge_error_pct,charge_gate,trend
0.1,10,2500.0,7.85368722348e-06,0.0,324.670146728,0.0,8.067321,3.7598,PASS,GROWING
0.1,40,2500.0,0.000142888014132,0.0,326.165669077,0.0,8.067321,3.7598,PASS,GROWING
0.1,50,2500.0,0.0003274536627458146,0.0,328.4239104051477,0.0,8.067321,3.7598,PASS,GROWING
0.1,60,2500.0,0.000760421515043,0.0,335.777358919,0.0,8.067321,3.7598,PASS,GROWING
0.2,10,2500.0,7.85476001632e-06,0.01365973471405546,324.670152674,5.9459999874889036e-06,8.112454973999382,4.340256900313591,PASS,GROWING
0.2,40,2500.0,0.000133996681503,-6.222588145697216,326.124472312,-0.04119676499999514,8.112454973999382,4.340256900313591,PASS,GROWING
0.2,50,2500.0,0.000293473167568,-10.377191964467947,327.725358768,-0.6985516371477161,8.112454973999382,4.340256900313591,PASS,GROWING
0.2,60,2500.0,0.000618941860719,-18.60542495513158,336.936010142,1.1586512229999926,8.112454973999382,4.340256900313591,PASS,GROWING
0.5,10,2500.0,7.85022044282e-06,-0.04414207698055783,324.670126498,-2.023000001827313e-05,8.13178969596238,4.588934996300709,PASS,GROWING
0.5,40,2500.0,0.000135733740649,-5.006909450355213,326.129877776,-0.035791301000017484,8.13178969596238,4.588934996300709,PASS,GROWING
0.5,50,2500.0,0.00029481033814,-9.96883782947755,327.743496413,-0.6804139921476917,8.13178969596238,4.588934996300709,PASS,GROWING
0.5,60,2500.0,0.000622856459559,-18.090631677645398,337.092474706,1.3151157870000247,8.13178969596238,4.588934996300709,PASS,GROWING
