time_s,collector_inner_voltage_v,collector_total_current_a_um,tmax_k
1e-13,2500.0,1.31235387961e-07,324.633215689
2.5e-13,2500.0,1.31249127504e-07,324.633215689
4.75e-13,2500.0,1.3124913434e-07,324.633215689
8.125e-13,2500.0,1.3124913084e-07,324.633215689
1.31875e-12,2500.0,1.31249131705e-07,324.633215689
2.078125e-12,2500.0,1.31249136954e-07,324.633215689
3.2171875e-12,2500.0,1.31249132345e-07,324.633215689
4.92578125e-12,2500.0,1.31249133479e-07,324.633215689
7.488671875e-12,2500.0,1.3124913413e-07,324.633215689
1.13330078125e-11,2500.0,1.31249133418e-07,324.633215689
1.70995117188e-11,2500.0,1.31249132798e-07,324.633215689
2.57492675781e-11,2500.0,1.31249132996e-07,324.633215689
3.57492675781e-11,2500.0,1.31249132691e-07,324.633215689
4.57492675781e-11,2500.0,1.31249134988e-07,324.633215689
5.57492675781e-11,2500.0,1.31249133417e-07,324.633215689
6.57492675781e-11,2500.0,1.31249133153e-07,324.633215689
7.57492675781e-11,2500.0,1.31249134161e-07,324.633215689
8.57492675781e-11,2500.0,1.31249131893e-07,324.633215689
9.57492675781e-11,2500.0,4.80896316526e-06,324.633215709
9.8e-11,2500.0,4.28068307927e-05,324.633215723
9.82e-11,2500.0,4.93754095679e-05,324.633215724
9.84e-11,2500.0,5.64481252762e-05,324.633215726
9.86e-11,2500.0,6.39464316581e-05,324.633215727
9.88e-11,2500.0,7.17601950027e-05,324.633215729
9.9e-11,2500.0,7.97402116075e-05,324.63321573
9.92e-11,2500.0,8.76897544939e-05,324.633215732
9.94e-11,2500.0,9.53536259589e-05,324.633215734
9.96e-11,2500.0,0.000102403291935,324.633215737
9.98e-11,2500.0,0.000108416428565,324.633215739
1e-10,2500.0,0.000112850439145,324.633215742
1.002e-10,2500.0,0.000115015758711,324.633215745
1.004e-10,2500.0,0.000114071892613,324.633215748
1.006e-10,2500.0,0.000109105101916,324.633215751
1.008e-10,2500.0,9.94022451457e-05,324.633215754
1.01e-10,2500.0,8.50192933321e-05,324.633215758
1.012e-10,2500.0,6.74191537872e-05,324.633215761
1.014e-10,2500.0,4.93909731976e-05,324.633215765
1.016e-10,2500.0,3.37653645033e-05,324.633215769
1.018e-10,2500.0,2.20077383293e-05,324.633215773
1.02e-10,2500.0,1.40394303071e-05,324.633215777
1.022e-10,2500.0,8.99533239799e-06,324.63321578
1.0248e-10,2500.0,5.31182792033e-06,324.633215786
1.02872e-10,2500.0,3.10301149831e-06,324.633215793
1.034208e-10,2500.0,2.01909118872e-06,324.633215804
1.0418912e-10,2500.0,1.56523166471e-06,324.633215819
1.05264768e-10,2500.0,1.38148231092e-06,324.63321584
1.067706752e-10,2500.0,1.29226227571e-06,324.63321587
1.0782481024e-10,2500.0,1.25125841545e-06,324.633215891
1.09300599296e-10,2500.0,1.21294866013e-06,324.63321592
1.11366703974e-10,2500.0,1.17704884267e-06,324.633215961
1.14259250524e-10,2500.0,1.14479903362e-06,324.633216019
1.18308815694e-10,2500.0,1.11604797661e-06,324.6332161
1.23978206931e-10,2500.0,1.09240806519e-06,324.633216216
1.31915354664e-10,2500.0,1.07974773395e-06,324.63321638
1.37471358077e-10,2500.0,1.07698662116e-06,324.633216497
1.45249762855e-10,2500.0,1.08019066309e-06,324.633216662
1.56139529544e-10,2500.0,1.08512553805e-06,324.633216898
1.71385202908e-10,2500.0,1.08502476905e-06,324.633217239
1.92729145619e-10,2500.0,1.07924139652e-06,324.633217735
2.22610665414e-10,2500.0,1.07396932616e-06,324.633218465
2.64444793126e-10,2500.0,1.07080993397e-06,324.633219558
3.23012571924e-10,2500.0,1.071923595e-06,324.633221229
4e-10,2500.0,1.08030681543e-06,324.633223671
4.1e-10,2500.0,1.08121325911e-06,324.633223992
4.24e-10,2500.0,1.0827130264e-06,324.63322445
4.436e-10,2500.0,1.08521879621e-06,324.633225107
4.7104e-10,2500.0,1.08922354313e-06,324.633226059
5.09456e-10,2500.0,1.09546536302e-06,324.633227454
5.632384e-10,2500.0,1.10506128431e-06,324.633229532
6.3853376e-10,2500.0,1.11973925762e-06,324.63323272
7.43947264e-10,2500.0,1.14232399134e-06,324.633238486
8.915261696e-10,2500.0,1.17789458325e-06,324.633261303
1.09813663744e-09,2500.0,1.2361620444e-06,324.633402084
1.38739129242e-09,2500.0,1.33395237819e-06,324.633928295
1.79234780938e-09,2500.0,1.49807447593e-06,324.634923726
2.35928693314e-09,2500.0,1.76307602462e-06,324.636068905
3.15300170639e-09,2500.0,2.13942058459e-06,324.637323048
4.26420238895e-09,2500.0,2.65557734086e-06,324.639319372
5.81988334452e-09,2500.0,3.54568710802e-06,324.643665211
7.99783668233e-09,2500.0,5.35963618688e-06,324.654196528
1e-08,2500.0,7.55553928803e-06,324.668928458
1.001e-08,2500.0,7.56629006895e-06,324.669002171
1.0024e-08,2500.0,7.58146286064e-06,324.669105632
1.00436e-08,2500.0,7.60277745188e-06,324.669250993
