series_id,time_s,time_ns,vce_v,ic_a_um,tmax_k,tpre_k,delta_t_k,delta_t_log_eligible,power_w_um,cumulative_electrical_energy_j_um,d_log_ic_dt_s_inv,d_delta_t_dt_k_s,phase,source_path,source_row,classification_scope
cold300_nonsteady,1e-13,0.0001,2500.0,1.30343088781e-07,300.000002939,300.000224307,-0.00022136799998406786,false,0.0003258577219525,0.0,795826634.8850884,23213333.406602032,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,2,diagnostic_only
cold300_nonsteady,2.5e-13,0.00025,2500.0,1.30358649285e-07,300.000006421,300.000224307,-0.00021788599997307756,false,0.0003258966232125,4.8881575887374994e-17,318637929.2922462,20333333.244100988,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,3,diagnostic_only
cold300_nonsteady,4.75e-13,0.000475,2500.0,1.30358664306e-07,300.000010564,300.000224307,-0.00021374300001753,false,0.000325896660765,1.2220832033484375e-16,102881.97434723162,16200888.846166585,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,4,diagnostic_only
cold300_nonsteady,8.125e-13,0.0008125000000000001,2500.0,1.30358656829e-07,300.000015534,300.000224307,-0.00020877299999710885,false,0.0003258966420725,2.3219844018867185e-16,-23311.185015228584,12993185.211800866,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,5,diagnostic_only
cold300_nonsteady,1.31875e-12,0.00131875,2500.0,1.30358661742e-07,300.000021527,300.000224307,-0.000202779999995073,false,0.00032589665435500003,3.971836183468828e-16,59665.96549069997,10447012.351101471,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,6,diagnostic_only
cold300_nonsteady,2.078125e-12,0.002078125,2500.0,1.30358666673e-07,300.000028756,300.000224307,-0.00019555099999024605,false,0.0003258966666825,6.446613949283087e-16,-1289.0047584411232,8386370.369976716,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,7,diagnostic_only
cold300_nonsteady,3.2171875e-12,0.0032171875,2500.0,1.30358661423e-07,300.000037448,300.000224307,-0.00018685899999582034,false,0.0003258966535575,1.0158780593462461e-15,-16297.760173582263,6740982.161192236,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,8,diagnostic_only
cold300_nonsteady,4.92578125e-12,0.0049257812500000005,2500.0,1.30358660623e-07,300.000047952,300.000224307,-0.00017635500000778848,false,0.0003258966515575,1.5727030430519123e-15,1359.493716808984,5414511.204752977,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,9,diagnostic_only
cold300_nonsteady,7.488671875e-12,0.007488671875,2500.0,1.3035866218e-07,300.000060576,300.000224307,-0.00016373099998645557,false,0.00032589665545000005,2.4079405210355465e-15,1755.1894799805184,4368192.653460299,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,10,diagnostic_only
cold300_nonsteady,1.13330078125e-11,0.0113330078125,2500.0,1.30358662089e-07,300.00007594,300.000224307,-0.0001483670000084203,false,0.0003258966552225,3.660796745055744e-15,-187.5715109764037,3550053.9513302306,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,11,diagnostic_only
cold300_nonsteady,1.70995117188e-11,0.0170995117188,2500.0,1.30358661945e-07,300.000094695,300.000224307,-0.00012961200002337137,false,0.0003258966548625,5.5400810794084234e-15,-1339.339681412582,2892775.2898615533,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,12,diagnostic_only
cold300_nonsteady,2.57492675781e-11,0.0257492675781,2500.0,1.30358659572e-07,300.000117643,300.000224307,-0.0001066639999862673,false,0.00032589664892999996,8.359007553674264e-15,-918.0812373818353,2429147.082545328,pre_strike,docs/changes/2026-07-13-igbt-seb-现有数据复盘/let_scan/data/let150_cold300_raw.csv,13,diagnostic_only
